Title,PPF Corporation Actuals Data Extract,,,
Date Extracted,8/1/2022,,,
Extracted By,Helen Jones (Finance Manager),,,
,,,,
DateKey,OrganizationKey,DepartmentKey, AccountKey ,Amount_LocalCCY
5/1/2020,8,6, 80 ,480
5/1/2020,8,6, 73 ,220
5/1/2020,4,6, 80 ,650
5/1/2020,4,6, 60 ,34400
5/1/2020,7,1, 94 ,305
5/1/2020,6,1, 62 ,1900
5/1/2020,8,1, 77 ,1240.5
5/1/2020,3,1, 69 ,33.84
5/1/2020,3,1, 84 ,105
5/1/2020,8,2, 87 ,280
5/1/2020,3,7, 84 ,30
5/1/2020,3,7, 78 ,40
5/1/2020,3,7, 60 ,7200
5/1/2020,6,4, 67 ,96
5/1/2020,6,3, 71 ,76
5/1/2020,6,3, 80 ,550
5/1/2020,6,2, 85 ,37
5/1/2020,6,2, 78 ,62
5/1/2020,6,2, 74 ,168
5/1/2020,6,2, 81 ,130
5/1/2020,6,2, 84 ,40
5/2/2020,5,6, 92 ,358.61
5/2/2020,5,6, 83 ,100
5/2/2020,5,6, 72 ,650
5/2/2020,4,6, 89 ,130.2
5/2/2020,4,6, 82 ,50
5/2/2020,4,6, 77 ,650
5/2/2020,4,6, 84 ,144
5/2/2020,4,6, 63 ,22102
5/2/2020,3,6, 89 ,150
5/2/2020,6,6, 90 ,180
5/2/2020,6,6, 68 ,123
5/2/2020,4,1, 91 ,249.3
5/2/2020,8,1, 69 ,49.57
5/2/2020,8,1, 76 ,380
5/2/2020,8,2, 87 ,280
5/2/2020,6,3, 76 ,280
5/3/2020,8,6, 84 ,110.17
5/3/2020,8,6, 81 ,378.36
5/3/2020,8,6, 85 ,104.11
5/3/2020,8,6, 69 ,31.38
5/3/2020,7,6, 81 ,480
5/3/2020,7,6, 52 ,18203
5/3/2020,5,6, 92 ,329
5/3/2020,5,6, 74 ,173
5/3/2020,5,6, 71 ,52
5/3/2020,4,6, 101 ,530500
5/3/2020,4,6, 56 ,151100
5/3/2020,4,6, 66 ,546
5/3/2020,4,6, 57 ,11051
5/3/2020,4,6, 52 ,17682
5/3/2020,3,6, 87 ,280
5/3/2020,3,6, 101 ,207374
5/3/2020,6,6, 80 ,480
5/3/2020,6,6, 60 ,20600
5/3/2020,6,6, 101 ,451651
5/3/2020,6,6, 80 ,444
5/3/2020,7,1, 65 ,368
5/3/2020,7,1, 61 ,3900
5/3/2020,6,1, 90 ,261.45
5/3/2020,6,1, 92 ,332
5/3/2020,6,1, 81 ,280
5/3/2020,5,1, 74 ,205
5/3/2020,5,1, 65 ,480
5/3/2020,4,1, 61 ,4236
5/3/2020,4,1, 78 ,280
5/3/2020,3,1, 80 ,710
5/3/2020,3,1, 68 ,200
5/3/2020,3,7, 89 ,35
5/3/2020,3,7, 65 ,65
5/3/2020,6,4, 83 ,86
5/3/2020,6,4, 82 ,30
5/3/2020,6,3, 89 ,176
5/3/2020,6,3, 65 ,480
5/3/2020,6,5, 73 ,110
5/3/2020,6,5, 67 ,41
5/3/2020,6,5, 87 ,176
5/3/2020,6,2, 69 ,21
5/3/2020,6,3, 83 ,100
5/4/2020,8,6, 69 ,28.27
5/4/2020,8,6, 101 ,700224.73
5/4/2020,8,6, 83 ,129.87
5/4/2020,8,6, 74 ,254.12
5/4/2020,7,6, 67 ,200
5/4/2020,7,6, 53 ,25500
5/4/2020,5,6, 52 ,24000
5/4/2020,5,6, 84 ,164
5/4/2020,5,6, 73 ,280
5/4/2020,5,6, 63 ,11152
5/4/2020,4,6, 57 ,12700
5/4/2020,4,6, 72 ,550
5/4/2020,3,6, 61 ,1600
5/4/2020,6,6, 69 ,37.8
5/4/2020,6,6, 54 ,600
5/4/2020,6,6, 63 ,7600
5/4/2020,7,1, 91 ,198
5/4/2020,7,1, 74 ,170
